id,nom_estab,nombre_act,categoria,per_ocu,nomb_asent,cod_postal,latitud,longitud,fecha_alta
9616116,BODEGA,Servicios de fumigación agrícola,Otro,0 a 5 personas,CRUZ DEL SUR,44950.0,20.64137894,-103.37445376,2024-11
8385127,BODEGA AUXILIAR DE COYUL 2578,Otros servicios relacionados con la agricultura,Otro,0 a 5 personas,JARDINES DEL SUR,44920.0,20.65090401,-103.37892209,2019-11
9142714,CONTROL DE PLAGAS,Servicios de fumigación agrícola,Otro,0 a 5 personas,INDEPENDENCIA,44340.0,20.69395962,-103.33154634,2019-11
11223130,INGREDION MEXICO,Otros servicios relacionados con la agricultura,Otro,0 a 5 personas,LA MODERNA,44190.0,20.65854661,-103.35733556,2024-11
9370945,JGE FUMIGACIONES,Servicios de fumigación agrícola,Otro,0 a 5 personas,BLANCO Y CUELLAR,44730.0,20.67107578,-103.30811722,2021-11
7799112,LIMPIEZA DE PARCELAS ZACATECAS,Otros servicios relacionados con la agricultura,Otro,0 a 5 personas,SAN JUAN DE DIOS,44360.0,20.67697481,-103.33933269,2019-11
9046055,"PESCA Y CAPTURA DE OTROS PECES, CRUSTÁCEOS, MOLUSCOS Y OTRAS ESPECIES","Pesca y captura de peces, crustáceos, moluscos y otras especies",Otro,0 a 5 personas,FRACCIONAMIENTO BOSQUES DE LA VICTORIA,,20.64864459,-103.39181311,2019-11
6491776,REPRODUCCION PORCINA DE OCCIDENTE,Servicios relacionados con la cría y explotación de animales,Otro,6 a 10 personas,VALLARTA NORTE,44690.0,20.67940747,-103.38769538,2016-01
10029683,LIMPIEZA DE PARCELAS DE ZACATECAS,Minería de plata,Joyería / Relojería,0 a 5 personas,SAN JUAN DE DIOS,44360.0,20.67697481,-103.33933269,2024-11
6766876,MINERA PURA GLORIA,Minería de hierro,Otro,0 a 5 personas,AMERICANA,,20.66758076,-103.3602453,2016-10
9274776,MINERA TECK,Otros servicios relacionados con la minería,Otro,0 a 5 personas,JARDINES DEL BOSQUE,,20.66488843,-103.3857547,2020-11
