Unnamed: 0,ID_VIV,UPM,VIV_SEL,AREAM,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,RESULT_V,AP1_1,AP1_2,AP2_1,AP2_2,AP2_3,NAP2_3,FAC_VIV,FAC_VIV_AM,DOMINIO,EST_DIS,UPM_DIS,SEGURA_DIA,SEGURA_NOCHE,PROBLEMA_PRINC
37966,1402445.02,1402445,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,1046,1046.0,U,279,6223,Sí,No,Violencia entre vecinos
37967,1402445.03,1402445,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,4,1,,1,1046,1046.0,U,279,6223,Sí,No,Venta de drogas
37968,1402445.04,1402445,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,7,1,,1,1046,1046.0,U,279,6223,Sí,No,Extorsión a negocios
37969,1402445.05,1402445,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,1046,1046.0,U,279,6223,Sí,No,Robos frecuentes
37970,1402472.02,1402472,2,2.0,14,JALISCO,39,GUADALAJARA,1,2,1,3,1,,1,1027,1027.0,U,281,6453,No,Sí,Consumo de drogas
37971,1402472.03,1402472,3,2.0,14,JALISCO,39,GUADALAJARA,2,2,1,1,1,,1,1027,1027.0,U,281,6453,No,Sí,Robos frecuentes
37972,1402472.04,1402472,4,2.0,14,JALISCO,39,GUADALAJARA,1,2,1,1,1,,1,1027,1027.0,U,281,6453,No,Sí,Robos frecuentes
37973,1402472.05,1402472,5,2.0,14,JALISCO,39,GUADALAJARA,2,2,1,1,1,,1,1027,1027.0,U,281,6453,No,Sí,Robos frecuentes
37974,1402539.01,1402539,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,693,693.0,U,279,6289,Sí,No,Violencia entre vecinos
37975,1402539.02,1402539,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,693,693.0,U,279,6289,Sí,No,Disparos frecuentes
37976,1402539.03,1402539,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,9,1,,1,693,693.0,U,279,6289,Sí,No,Ninguno
37977,1402539.05,1402539,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,693,693.0,U,279,6289,Sí,No,Pandillas/bandas
37978,1402540.01,1402540,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,1132,1132.0,U,280,6293,Sí,No,Pandillas/bandas
37979,1402540.02,1402540,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1132,1132.0,U,280,6293,Sí,No,Pandillas/bandas
37980,1402540.03,1402540,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1132,1132.0,U,280,6293,Sí,No,Pandillas/bandas
37981,1402540.04,1402540,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,7,1,,1,1132,1132.0,U,280,6293,Sí,No,Extorsión a negocios
37982,1402540.05,1402540,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,1,1,,1,1132,1132.0,U,280,6293,Sí,No,Robos frecuentes
37983,1402551.01,1402551,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,715,715.0,U,279,6287,Sí,No,Violencia entre vecinos
37984,1402551.02,1402551,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,715,715.0,U,279,6287,Sí,No,Consumo de drogas
37985,1402551.04,1402551,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,715,715.0,U,279,6287,Sí,No,Disparos frecuentes
37986,1402551.05,1402551,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,715,715.0,U,279,6287,Sí,No,Disparos frecuentes
37987,1402567.01,1402567,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,954,954.0,U,280,6345,Sí,No,Disparos frecuentes
37988,1402567.02,1402567,2,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,4,1,,1,954,954.0,U,280,6345,Sí,No,Venta de drogas
37989,1402567.03,1402567,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,954,954.0,U,280,6345,Sí,No,Violencia entre vecinos
37990,1402567.04,1402567,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,954,954.0,U,280,6345,Sí,No,Pandillas/bandas
37991,1402567.05,1402567,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,954,954.0,U,280,6345,Sí,No,Venta de drogas
37992,1402571.01,1402571,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,761,761.0,U,280,6385,Sí,No,Robos frecuentes
37993,1402571.02,1402571,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,761,761.0,U,280,6385,Sí,No,Venta de drogas
37994,1402571.03,1402571,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,761,761.0,U,280,6385,Sí,No,Pandillas/bandas
37995,1402571.04,1402571,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,761,761.0,U,280,6385,Sí,No,Violencia entre vecinos
37996,1402571.05,1402571,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,761,761.0,U,280,6385,Sí,No,Pandillas/bandas
37997,1402581.01,1402581,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1033,1033.0,U,280,6307,Sí,No,Pandillas/bandas
37998,1402581.03,1402581,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,1033,1033.0,U,280,6307,Sí,No,Consumo de drogas
37999,1402581.04,1402581,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,1033,1033.0,U,280,6307,Sí,No,Pandillas/bandas
38000,1402581.05,1402581,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,4,1,,1,1033,1033.0,U,280,6307,Sí,No,Venta de drogas
38001,1402591.02,1402591,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,906,906.0,U,279,6257,Sí,No,Violencia entre vecinos
38002,1402591.03,1402591,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,906,906.0,U,279,6257,Sí,No,Venta de drogas
38003,1402591.05,1402591,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,12,1,,1,906,906.0,U,279,6257,Sí,No,
38004,1402619.01,1402619,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,940,940.0,U,280,6355,Sí,No,Violencia entre vecinos
38005,1402619.02,1402619,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,940,940.0,U,280,6355,Sí,No,Robos frecuentes
38006,1402619.03,1402619,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,4,1,,1,940,940.0,U,280,6355,Sí,No,Venta de drogas
38007,1402619.04,1402619,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,940,940.0,U,280,6355,Sí,No,Robos frecuentes
38008,1402619.05,1402619,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,940,940.0,U,280,6355,Sí,No,Pandillas/bandas
38009,1402620.01,1402620,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1023,1023.0,U,280,6312,Sí,No,Venta de drogas
38010,1402620.02,1402620,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,1023,1023.0,U,280,6312,Sí,No,Robos frecuentes
38011,1402620.03,1402620,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,1023,1023.0,U,280,6312,Sí,No,Violencia entre vecinos
38012,1402620.04,1402620,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,1023,1023.0,U,280,6312,Sí,No,Disparos frecuentes
38013,1402620.05,1402620,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,6,1,,1,1023,1023.0,U,280,6312,Sí,No,Disparos frecuentes
38014,1402640.01,1402640,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,4,1,,1,1139,1139.0,U,280,6292,Sí,No,Venta de drogas
38015,1402640.02,1402640,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1139,1139.0,U,280,6292,Sí,No,Venta de drogas
38016,1402640.04,1402640,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,6,1,,1,1139,1139.0,U,280,6292,Sí,No,Disparos frecuentes
38017,1402640.05,1402640,5,2.0,14,JALISCO,39,GUADALAJARA,2,3,1,5,1,,1,1139,1139.0,U,280,6292,No sabe,Sí,Violencia entre vecinos
38018,1402659.01,1402659,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,804,804.0,U,280,6382,Sí,No,Consumo de drogas
38019,1402659.02,1402659,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,804,804.0,U,280,6382,Sí,No,Consumo de drogas
38020,1402659.03,1402659,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,10,2,2.0,2,804,804.0,U,280,6382,Sí,No,Otro
38021,1402659.05,1402659,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,804,804.0,U,280,6382,Sí,No,Venta de drogas
38022,1402679.01,1402679,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,990,990.0,U,280,6323,Sí,No,Venta de drogas
38023,1402679.02,1402679,2,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,7,2,2.0,2,990,990.0,U,280,6323,Sí,No,Extorsión a negocios
38024,1402679.03,1402679,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,990,990.0,U,280,6323,Sí,No,Consumo de drogas
38025,1402679.05,1402679,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,990,990.0,U,280,6323,Sí,No,Venta de drogas
38026,1402682.01,1402682,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1005,1005.0,U,280,6319,Sí,No,Pandillas/bandas
38027,1402682.02,1402682,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1005,1005.0,U,280,6319,Sí,No,Pandillas/bandas
38028,1402682.04,1402682,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1005,1005.0,U,280,6319,Sí,No,Venta de drogas
38029,1402682.05,1402682,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,1005,1005.0,U,280,6319,Sí,No,Consumo de drogas
38030,1402728.01,1402728,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,1003,1003.0,U,279,6231,Sí,No,Consumo de drogas
38031,1402728.02,1402728,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1003,1003.0,U,279,6231,Sí,No,Venta de drogas
38032,1402728.04,1402728,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,1003,1003.0,U,279,6231,Sí,No,Consumo de drogas
38033,1402728.05,1402728,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,1003,1003.0,U,279,6231,Sí,No,Violencia entre vecinos
38034,1402807.01,1402807,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,1011,1011.0,U,280,6317,Sí,No,Violencia entre vecinos
38035,1402807.02,1402807,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,1011,1011.0,U,280,6317,Sí,No,Robos frecuentes
38036,1402807.03,1402807,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,6,1,,1,1011,1011.0,U,280,6317,Sí,No,Disparos frecuentes
38037,1402807.04,1402807,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1011,1011.0,U,280,6317,Sí,No,Venta de drogas
38038,1402807.05,1402807,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1011,1011.0,U,280,6317,Sí,No,Pandillas/bandas
38039,1402818.01,1402818,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,973,973.0,U,279,6245,Sí,No,Pandillas/bandas
38040,1402818.02,1402818,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,5,1,,1,973,973.0,U,279,6245,Sí,No,Violencia entre vecinos
38041,1402818.03,1402818,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,1,4,1,,1,973,973.0,U,279,6245,Sí,Sí,Venta de drogas
38042,1402818.04,1402818,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,6,1,,1,973,973.0,U,279,6245,Sí,No,Disparos frecuentes
38043,1402818.05,1402818,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,1,2,1,,1,973,973.0,U,279,6245,Sí,Sí,Pandillas/bandas
38044,1402838.01,1402838,1,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,1032,1032.0,U,280,6309,Sí,No,Consumo de drogas
38045,1402838.02,1402838,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,1032,1032.0,U,280,6309,Sí,No,Consumo de drogas
38046,1402838.03,1402838,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,1032,1032.0,U,280,6309,Sí,No,Violencia entre vecinos
38047,1402838.04,1402838,4,2.0,14,JALISCO,39,GUADALAJARA,2,1,1,2,1,,1,1032,1032.0,U,280,6309,Sí,Sí,Pandillas/bandas
38048,1402838.05,1402838,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,1032,1032.0,U,280,6309,Sí,No,Violencia entre vecinos
38049,1402994.01,1402994,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,974,974.0,U,279,6244,Sí,No,Venta de drogas
38050,1402994.02,1402994,2,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,974,974.0,U,279,6244,Sí,No,Consumo de drogas
38051,1402994.03,1402994,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,974,974.0,U,279,6244,Sí,No,Pandillas/bandas
38052,1402994.04,1402994,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,974,974.0,U,279,6244,Sí,No,Consumo de drogas
38053,1402994.05,1402994,5,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,5,1,,1,974,974.0,U,279,6244,Sí,No,Violencia entre vecinos
38054,1403053.01,1403053,1,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,4,1,,1,1040,1040.0,U,280,6305,Sí,No,Venta de drogas
38055,1403053.03,1403053,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,9,1,,1,1040,1040.0,U,280,6305,Sí,No,Ninguno
38056,1403053.04,1403053,4,2.0,14,JALISCO,39,GUADALAJARA,2,3,2,2,1,,1,1040,1040.0,U,280,6305,No sabe,No,Pandillas/bandas
38057,1403053.05,1403053,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,1,1,,1,1040,1040.0,U,280,6305,Sí,No,Robos frecuentes
38058,1403057.03,1403057,3,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,3,1,,1,1061,1061.0,U,280,6300,Sí,No,Consumo de drogas
38059,1403057.04,1403057,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,1,5,2,2.0,2,1061,1061.0,U,280,6300,Sí,Sí,Violencia entre vecinos
38060,1403086.02,1403086,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,3,1,,1,1034,1034.0,U,280,6306,Sí,No,Consumo de drogas
38061,1403086.03,1403086,3,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1034,1034.0,U,280,6306,Sí,No,Pandillas/bandas
38062,1403086.04,1403086,4,2.0,14,JALISCO,39,GUADALAJARA,1,1,2,2,1,,1,1034,1034.0,U,280,6306,Sí,No,Pandillas/bandas
38063,1403086.05,1403086,5,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1034,1034.0,U,280,6306,Sí,No,Pandillas/bandas
38064,1403102.02,1403102,2,2.0,14,JALISCO,39,GUADALAJARA,2,1,2,2,1,,1,1120,1120.0,U,280,6295,Sí,No,Pandillas/bandas
