Unnamed: 0,ID_VIV,ID_HOG,ID_PER,UPM,VIV_SEL,HOGAR,RESUL_H,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,N_REN,PAREN,SEXO,EDAD,CODIGO,NIV,GRA,AP3_8,AP3_9,AP3_10,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS,SEXO_STR,NIVEL_EDU
126810,1402445.02,1402445.02.01,1402445.02.01.01,1402445,2,1,B,14,JALISCO,39,GUADALAJARA,1,1,2,66,1.0,3.0,3.0,2.0,,2.0,1049,1049.0,U,279,6223,Mujer,Secundaria
126811,1402445.02,1402445.02.01,1402445.02.01.02,1402445,2,1,B,14,JALISCO,39,GUADALAJARA,2,2,1,69,2.0,2.0,3.0,1.0,,3.0,1049,1049.0,U,279,6223,Hombre,Primaria
126812,1402445.02,1402445.02.01,1402445.02.01.03,1402445,2,1,B,14,JALISCO,39,GUADALAJARA,3,3,2,29,2.0,3.0,3.0,1.0,,2.0,1049,1049.0,U,279,6223,Mujer,Secundaria
126813,1402445.02,1402445.02.01,1402445.02.01.04,1402445,2,1,B,14,JALISCO,39,GUADALAJARA,4,5,2,12,,2.0,6.0,,,,1049,1049.0,U,279,6223,Mujer,Primaria
126814,1402445.02,1402445.02.01,1402445.02.01.05,1402445,2,1,B,14,JALISCO,39,GUADALAJARA,5,5,1,5,,1.0,1.0,,,,1049,1049.0,U,279,6223,Hombre,Preescolar
126815,1402445.03,1402445.03.01,1402445.03.01.01,1402445,3,1,A,14,JALISCO,39,GUADALAJARA,1,1,1,63,2.0,2.0,6.0,8.0,4.0,,1049,1049.0,U,279,6223,Hombre,Primaria
126816,1402445.03,1402445.03.01,1402445.03.01.02,1402445,3,1,A,14,JALISCO,39,GUADALAJARA,2,3,1,25,2.0,6.0,3.0,1.0,,2.0,1049,1049.0,U,279,6223,Hombre,Preparatoria o bachillerato
126817,1402445.03,1402445.03.01,1402445.03.01.03,1402445,3,1,A,14,JALISCO,39,GUADALAJARA,3,3,1,28,2.0,3.0,3.0,1.0,,3.0,1049,1049.0,U,279,6223,Hombre,Secundaria
126818,1402445.03,1402445.03.01,1402445.03.01.04,1402445,3,1,A,14,JALISCO,39,GUADALAJARA,4,3,1,20,1.0,3.0,3.0,1.0,,2.0,1049,1049.0,U,279,6223,Hombre,Secundaria
126819,1402445.04,1402445.04.01,1402445.04.01.01,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,1,1,1,70,1.0,4.0,3.0,6.0,4.0,,1049,1049.0,U,279,6223,Hombre,Carrera técnica con secundaria
126820,1402445.04,1402445.04.01,1402445.04.01.02,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,2,2,2,61,2.0,3.0,3.0,6.0,4.0,,1049,1049.0,U,279,6223,Mujer,Secundaria
126821,1402445.04,1402445.04.01,1402445.04.01.03,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,3,3,1,28,2.0,3.0,3.0,1.0,,2.0,1049,1049.0,U,279,6223,Hombre,Secundaria
126822,1402445.04,1402445.04.01,1402445.04.01.04,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,4,6,2,30,2.0,3.0,3.0,1.0,,2.0,1049,1049.0,U,279,6223,Mujer,Secundaria
126823,1402445.04,1402445.04.01,1402445.04.01.05,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,5,5,2,12,,2.0,4.0,,,,1049,1049.0,U,279,6223,Mujer,Primaria
126824,1402445.04,1402445.04.01,1402445.04.01.06,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,6,5,1,9,,2.0,2.0,,,,1049,1049.0,U,279,6223,Hombre,Primaria
126825,1402445.04,1402445.04.01,1402445.04.01.07,1402445,4,1,B,14,JALISCO,39,GUADALAJARA,7,5,2,8,,2.0,2.0,,,,1049,1049.0,U,279,6223,Mujer,Primaria
126826,1402445.05,1402445.05.01,1402445.05.01.01,1402445,5,1,B,14,JALISCO,39,GUADALAJARA,1,1,2,72,1.0,3.0,3.0,5.0,4.0,,1049,1049.0,U,279,6223,Mujer,Secundaria
126827,1402472.02,1402472.02.01,1402472.02.01.01,1402472,2,1,A,14,JALISCO,39,GUADALAJARA,1,1,2,46,2.0,8.0,5.0,1.0,,2.0,1027,1027.0,U,281,6453,Mujer,Licenciatura
126828,1402472.02,1402472.02.01,1402472.02.01.02,1402472,2,1,A,14,JALISCO,39,GUADALAJARA,2,6,2,20,1.0,7.0,1.0,1.0,,2.0,1027,1027.0,U,281,6453,Mujer,Carrera técnica con preparatoria
126829,1402472.02,1402472.02.01,1402472.02.01.03,1402472,2,1,A,14,JALISCO,39,GUADALAJARA,3,3,1,4,,0.0,0.0,,,,1027,1027.0,U,281,6453,Hombre,Sin escolaridad
126830,1402472.03,1402472.03.01,1402472.03.01.01,1402472,3,1,B,14,JALISCO,39,GUADALAJARA,1,1,2,27,1.0,8.0,5.0,1.0,,2.0,1027,1027.0,U,281,6453,Mujer,Licenciatura
126831,1402472.04,1402472.04.01,1402472.04.01.01,1402472,4,1,A,14,JALISCO,39,GUADALAJARA,1,1,2,25,1.0,6.0,3.0,4.0,2.0,5.0,1027,1027.0,U,281,6453,Mujer,Preparatoria o bachillerato
126832,1402472.05,1402472.05.01,1402472.05.01.01,1402472,5,1,B,14,JALISCO,39,GUADALAJARA,1,1,1,19,1.0,8.0,1.0,4.0,4.0,,1027,1027.0,U,281,6453,Hombre,Licenciatura
126833,1402539.01,1402539.01.01,1402539.01.01.01,1402539,1,1,A,14,JALISCO,39,GUADALAJARA,1,1,2,79,2.0,3.0,3.0,5.0,4.0,,695,695.0,U,279,6289,Mujer,Secundaria
126834,1402539.01,1402539.01.01,1402539.01.01.02,1402539,1,1,A,14,JALISCO,39,GUADALAJARA,2,3,2,46,2.0,3.0,3.0,1.0,,2.0,695,695.0,U,279,6289,Mujer,Secundaria
126835,1402539.01,1402539.01.01,1402539.01.01.03,1402539,1,1,A,14,JALISCO,39,GUADALAJARA,3,3,1,36,1.0,6.0,3.0,1.0,,2.0,695,695.0,U,279,6289,Hombre,Preparatoria o bachillerato
126836,1402539.01,1402539.01.01,1402539.01.01.04,1402539,1,1,A,14,JALISCO,39,GUADALAJARA,4,6,1,49,2.0,6.0,3.0,1.0,,2.0,695,695.0,U,279,6289,Hombre,Preparatoria o bachillerato
126837,1402539.01,1402539.01.01,1402539.01.01.05,1402539,1,1,A,14,JALISCO,39,GUADALAJARA,5,5,1,1,,,,,,,695,695.0,U,279,6289,Hombre,No especificado
126838,1402539.02,1402539.02.01,1402539.02.01.01,1402539,2,1,B,14,JALISCO,39,GUADALAJARA,1,1,1,56,2.0,3.0,3.0,6.0,4.0,,695,695.0,U,279,6289,Hombre,Secundaria
126839,1402539.02,1402539.02.01,1402539.02.01.02,1402539,2,1,B,14,JALISCO,39,GUADALAJARA,2,2,2,55,2.0,2.0,3.0,5.0,4.0,,695,695.0,U,279,6289,Mujer,Primaria
126840,1402539.02,1402539.02.01,1402539.02.01.03,1402539,2,1,B,14,JALISCO,39,GUADALAJARA,3,3,1,31,2.0,2.0,6.0,1.0,,2.0,695,695.0,U,279,6289,Hombre,Primaria
126841,1402539.02,1402539.02.01,1402539.02.01.04,1402539,2,1,B,14,JALISCO,39,GUADALAJARA,4,3,1,19,1.0,8.0,1.0,4.0,4.0,,695,695.0,U,279,6289,Hombre,Licenciatura
126842,1402539.02,1402539.02.01,1402539.02.01.05,1402539,2,1,B,14,JALISCO,39,GUADALAJARA,5,5,1,13,,3.0,1.0,,,,695,695.0,U,279,6289,Hombre,Secundaria
