Unnamed: 0,ID_VIV,ID_HOG,ID_PER,UPM,VIV_SEL,HOGAR,RESUL_H,R_SEL,SEXO,EDAD,AREAM,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,AP4_1,AP4_2_01,AP4_2_02,AP4_2_03,AP4_2_04,AP4_2_05,AP4_2_06,AP4_2_07,AP4_2_08,AP4_2_09,AP4_2_10,AP4_2_11,AP4_2_12,AP4_2_13,AP4_2_99,AP4_3_1,AP4_3_2,AP4_3_3,AP4_4_01,AP4_4_02,AP4_4_03,AP4_4_04,AP4_4_05,AP4_4_06,AP4_4_07,AP4_4_08,AP4_4_09,AP4_4_10,AP4_4_11,AP4_4_12,AP4_4_A,AP4_5_01,AP4_5_02,AP4_5_03,AP4_5_04,AP4_5_05,AP4_5_06,AP4_5_07,AP4_5_08,AP4_5_09,AP4_5_10,AP4_5_11,AP4_5_12,AP4_5_13,AP4_5_14,AP4_5_15,AP4_5_16,AP4_5_17,AP4_5_18,AP4_5_99,AP4_6_1,AP4_6_2,AP4_6_3,AP4_7_1,AP4_7_2,AP4_7_3,AP4_8_1,AP4_9_1,AP4_8_2,AP4_9_2,AP4_8_3,AP4_9_3,AP4_8_4,AP4_9_4,AP4_8_5,AP4_9_5,AP4_8_6,AP4_9_6,AP4_10_01,AP4_10_02,AP4_10_03,AP4_10_04,AP4_10_05,AP4_10_06,AP4_10_07,AP4_10_08,AP4_10_09,AP4_10_10,AP4_10_11,AP4_10_12,AP4_10_13,AP4_10_14,AP4_10_15,AP4_10_16,AP4_11_01,AP4_11_02,AP4_11_03,AP4_11_04,AP4_11_05,AP4_11_06,AP4_11_07,AP4_11_08,AP4_11_09,AP4_11_10,AP4_11_11,AP4_12,AP5_1_01,AP5_1_02,AP5_1_03,AP5_1_04,AP5_1_05,AP5_1_06,AP5_1_07,AP5_1_08,AP5_1_09,AP5_1_10,AP5_1_11,AP5_1_12,AP5_1_13,AP5_1_14,AP5_2_1,AP5_2_2,AP5_2_3,AP5_2_4,AP5_3_01,AP5_4_01,AP5_5_01,AP5_6_01,AP5_7_1,AP5_3_02,AP5_4_02,AP5_5_02,AP5_6_02,AP5_7_2,AP5_3_03,AP5_4_03,AP5_5_03,AP5_6_03,AP5_7_3,AP5_3_04,AP5_4_04,AP5_5_04,AP5_6_04,AP5_7_4,AP5_3_05,AP5_4_05,AP5_5_05,AP5_6_05,AP5_3_06,AP5_4_06,AP5_5_06,AP5_6_06,AP5_3_07,AP5_4_07,AP5_5_07,AP5_6_07,AP5_3_08,AP5_4_08,AP5_5_08,AP5_6_08,AP5_3_09,AP5_4_09,AP5_5_09,AP5_6_09,AP5_3_10,AP5_4_10,AP5_5_10,AP5_6_10,AP5_3_11,AP5_4_11,AP5_5_11,AP5_6_11,AP5_8_01_1,AP5_8_01_2,AP5_8_01_3,AP5_8_01_4,AP5_8_01_5,AP5_8_02_1,AP5_8_02_2,AP5_8_02_3,AP5_8_02_4,AP5_8_02_5,AP5_8_03_1,AP5_8_03_2,AP5_8_03_3,AP5_8_03_4,AP5_8_03_5,AP5_8_04_1,AP5_8_04_2,AP5_8_04_3,AP5_8_04_4,AP5_8_04_5,AP5_8_05_1,AP5_8_05_2,AP5_8_05_3,AP5_8_05_4,AP5_8_05_5,AP5_8_06_1,AP5_8_06_2,AP5_8_06_3,AP5_8_06_4,AP5_8_06_5,AP5_8_07_1,AP5_8_07_2,AP5_8_07_3,AP5_8_07_4,AP5_8_07_5,AP5_8_08_1,AP5_8_08_2,AP5_8_08_3,AP5_8_08_4,AP5_8_08_5,AP5_8_09_1,AP5_8_09_2,AP5_8_09_3,AP5_8_09_4,AP5_8_09_5,AP5_8_10_1,AP5_8_10_2,AP5_8_10_3,AP5_8_10_4,AP5_8_10_5,AP5_8_11_1,AP5_8_11_3,AP5_8_11_4,AP5_8_11_5,AP5_9,FAC_HOG,FAC_ELE,FAC_HOG_AM,FAC_ELE_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,FUE_VICTIMA,DELITOS_SUFRIDOS,SEXO_STR
38592,1402445.02,1402445.02.01,1402445.02.01.01,1402445,2,1,B,1,2,66,2.0,14,JALISCO,39,GUADALAJARA,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,2,1,2,2,3,2,3,2,2,2,1,1,2,4,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,9,9,9,1,1,1,2,,2,,1,2.0,1,2.0,1,2.0,2,,1,1,2,2,2,2,3,9,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,3,1,1,2,2,2,3,3,1,2,2,2,2,2,2,2,2,,,,,1,3.0,1.0,3.0,2.0,1,3.0,1.0,3.0,2.0,2,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1049,3147,1049.0,3147.0,U,2,279,6223,True,"Robo accesorios vehículo, Robo en transporte público, Amenazas",Mujer
38593,1402445.03,1402445.03.01,1402445.03.01.04,1402445,3,1,A,4,1,20,2.0,14,JALISCO,39,GUADALAJARA,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,2,,1,1.0,2,,1,1.0,1,1.0,1,1.0,1,2,2,1,1,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,2,3,3,2,2,3,2,2,2,2,2,2,2,2,1,2.0,1.0,2.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,1.0,2.0,1.0,1,2.0,2.0,2.0,1.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1049,4195,1049.0,4195.0,U,2,279,6223,True,"Robo en vivienda, Robo en transporte público, Robo en calle",Hombre
38594,1402445.04,1402445.04.01,1402445.04.01.01,1402445,4,1,B,1,1,70,2.0,14,JALISCO,39,GUADALAJARA,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,4,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,4,4,4,1,2.0,1,2.0,1,2.0,1,1.0,1,2.0,1,2.0,1,1,1,2,2,1,3,1,2,2,1,1,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,5,1,4.0,1.0,4.0,2.0,1,4.0,1.0,4.0,2.0,1,4.0,1.0,4.0,2.0,1,4.0,1.0,4.0,2.0,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1049,4195,1049.0,4195.0,U,2,279,6223,True,"Robo vehículo, Robo en calle, Lesiones",Hombre
38595,1402445.05,1402445.05.01,1402445.05.01.01,1402445,5,1,B,1,2,72,2.0,14,JALISCO,39,GUADALAJARA,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,2,2,1,3,2,3,2,2,2,2,2,1,2,3,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,4,4,4,2,,2,,2,,1,2.0,1,2.0,1,2.0,2,9,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,2,2,3,3,3,3,3,3,3,2,5,1,5,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1049,1049,1049.0,1049.0,U,2,279,6223,True,"Robo en vivienda, Robo en calle, Amenazas",Mujer
38596,1402472.02,1402472.02.01,1402472.02.01.02,1402472,2,1,A,2,2,20,2.0,14,JALISCO,39,GUADALAJARA,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,2,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,1,1,2,,2,,2,,2,,2,,9,,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2.0,1.0,1.0,2.0,1,1.0,2.0,2.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,2,,,,2,,,,2,,,,1,1.0,2.0,1.0,2,,,,2,,,,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,1.0,2.0,2.0,3,1027,2054,1027.0,2054.0,U,4,281,6453,True,"Robo en transporte público, Secuestro, Extorsión",Mujer
38597,1402472.03,1402472.03.01,1402472.03.01.01,1402472,3,1,B,1,2,27,2.0,14,JALISCO,39,GUADALAJARA,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,1,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,1,1,1,2,,2,,2,,2,,2,,9,,2,3,2,3,3,2,3,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2.0,2.0,2.0,1.0,2,,,,,1,2.0,2.0,2.0,1.0,1,1.0,2.0,2.0,1.0,2,,,,2,,,,2,,,,1,2.0,2.0,2.0,1,2.0,2.0,1.0,1,2.0,2.0,1.0,2,,,,2.0,1.0,2.0,2.0,2.0,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,3,1027,1027,1027.0,1027.0,U,4,281,6453,True,"Robo en transporte público, Robo en calle, Secuestro",Mujer
38598,1402472.04,1402472.04.01,1402472.04.01.01,1402472,4,1,A,1,2,25,2.0,14,JALISCO,39,GUADALAJARA,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,4,4,4,2,,1,1.0,1,2.0,2,,9,,2,,2,3,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,3,3,3,3,3,2,1,3,2,1,3,3,3,3,4,1,1,2,1,4.0,1.0,4.0,2.0,1,2.0,1.0,2.0,1.0,2,,,,,1,2.0,2.0,2.0,1.0,1,4.0,1.0,4.0,2,,,,2,,,,1,1.0,2.0,1.0,2,,,,2,,,,2,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,4,1027,1027,1027.0,1027.0,U,4,281,6453,True,"Robo en transporte público, Fraude bancario, Lesiones",Mujer
38599,1402472.05,1402472.05.01,1402472.05.01.01,1402472,5,1,B,1,1,19,2.0,14,JALISCO,39,GUADALAJARA,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,1,1.0,2,,2,,2,,1,1.0,9,,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,600.0,2,1,2,2,2,3,2,2,2,1,1,1,1,2,1,1,1,1,1,1.0,2.0,2.0,1.0,2,,,,,1,2.0,2.0,9.0,1.0,1,2.0,2.0,2.0,1.0,9,,,,1,9.0,1.0,2.0,1,3.0,1.0,3.0,1,1.0,2.0,1.0,1,9.0,1.0,1.0,1,1.0,2.0,3.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4,1027,1027,1027.0,1027.0,U,4,281,6453,True,"Robo en vivienda, Robo en calle, Amenazas",Hombre
38600,1402539.01,1402539.01.01,1402539.01.01.03,1402539,1,1,A,3,1,36,2.0,14,JALISCO,39,GUADALAJARA,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,1,1,1,3,1,1,1,1,1,3,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,1,1.0,1,9.0,2,,1,9.0,1,9.0,9,,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,,2,1,1,3,3,3,3,2,2,1,2,2,2,3,1,3,1,1,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2.0,2.0,1,2.0,1.0,2.0,9.0,1,2.0,9.0,2.0,2.0,2,,,,2,,,,2,,,,1,2.0,2.0,1.0,1,2.0,2.0,2.0,1,9.0,9.0,9.0,2,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,9,695,2780,695.0,2780.0,U,2,279,6289,True,"Robo accesorios vehículo, Robo en transporte público, Fraude bancario",Hombre
38601,1402539.02,1402539.02.01,1402539.02.01.04,1402539,2,1,B,4,1,19,2.0,14,JALISCO,39,GUADALAJARA,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,,1,2.0,2,,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,2,1,3,3,1,1,1,2,2,1,3,1,1,1,1,1,3.0,2.0,2.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1.0,2.0,2.0,1,2.0,2.0,2.0,1,1.0,2.0,2.0,1,1.0,2.0,1.0,1,1.0,2.0,1.0,1,1.0,2.0,1.0,1,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3,695,2780,695.0,2780.0,U,2,279,6289,True,"Robo en transporte público, Delito sexual, Lesiones",Hombre
