LUGAR_STR,Amenazas,Delito sexual,Extorsión,Fraude bancario,Homicidio familiar,Lesiones,Otro delito,Robo accesorios,Robo banco/cajero,Robo calle,Robo negocio,Robo transporte,Robo vehículo,Robo vivienda,Secuestro
Banco,28,27,42,20,0,14,2,75,32,67,7,43,11,71,1
Bar / cantina / antro,23,7,29,15,0,10,1,13,38,34,21,26,5,33,0
Cajero automático,18,7,32,14,0,5,0,37,23,34,3,11,4,24,0
Calle / vía pública,473,281,513,351,21,205,32,999,454,913,95,203,150,639,6
Carretera,86,27,89,59,1,38,2,234,50,67,16,87,17,167,0
Casa de empeño,82,32,70,75,5,30,6,139,88,117,32,96,22,98,2
Centro comercial,34,13,41,23,1,8,1,26,52,14,18,23,9,41,2
Escuela,51,25,39,49,0,15,3,76,57,18,10,59,10,52,2
Estacionamiento,25,8,58,25,0,7,3,17,34,28,3,31,2,19,0
Farmacia,77,37,149,75,3,25,5,132,86,112,35,102,34,122,1
Gasolinera,30,11,24,32,1,7,2,103,28,32,11,59,9,85,0
Hotel / motel,39,16,90,28,1,8,6,40,30,28,34,31,20,15,1
Internet / digital,40,27,52,41,1,19,8,67,44,93,9,28,8,80,0
Joyería,45,15,33,33,0,17,2,69,36,8,5,40,14,44,0
Mercado / tianguis,96,46,118,133,3,30,10,89,167,45,68,108,5,128,0
Negocio / empresa,113,76,154,115,4,31,7,314,107,316,20,91,41,219,3
Otro comercio,37,20,41,52,2,22,1,77,54,35,13,40,16,72,0
Otro lugar,90,30,118,64,1,12,1,89,93,134,16,63,36,105,0
Parque / área verde,49,22,49,35,5,22,1,66,29,42,8,42,15,76,0
Por teléfono,31,26,39,29,0,11,4,58,22,11,12,15,6,43,0
Restaurante,73,18,92,42,1,12,1,105,53,63,11,35,43,85,2
Terminal transporte,58,22,140,56,1,26,2,60,72,86,75,74,11,50,3
Tienda conveniencia,93,66,134,122,4,29,9,224,159,87,26,76,40,228,6
Transporte público,80,18,43,52,2,23,5,110,38,31,18,92,6,122,6
Vehículo particular,66,31,56,55,0,32,1,106,82,113,18,52,22,108,0
Vivienda ajena,115,46,111,92,3,34,3,215,156,115,21,66,25,121,2
Vivienda propia,69,46,96,77,3,33,4,157,87,147,17,66,44,124,3
