date,delito,x,y,colonia,municipio,region,bien_afectado,fecha,hora,clave_mun,zona_geografica
2023-07-16,abuso sexual infantil,-103.36786996806649,20.691936251222295,villasenor (santa teresita),guadalajara,centro,la libertad y la seguridad sexual,2023-07-16,,39,amg
2023-11-20,abuso sexual infantil,-103.349673009639,20.61424511069748,miravalle,guadalajara,centro,la libertad y la seguridad sexual,2023-11-20,,39,amg
2023-03-13,abuso sexual infantil,-103.35202761285773,20.714256808829973,fidel velazquez,guadalajara,centro,la libertad y la seguridad sexual,2023-03-13,,39,amg
2023-07-05,abuso sexual infantil,-103.2979185813736,20.646022854807345,vicente guerrero,guadalajara,centro,la libertad y la seguridad sexual,2023-07-05,,39,amg
2023-02-09,abuso sexual infantil,-103.30852134859,20.6671746983528,la penal,guadalajara,centro,la libertad y la seguridad sexual,2023-02-09,,39,amg
2023-10-08,abuso sexual infantil,-103.2943853030255,20.6971619971579,oblatos,guadalajara,centro,la libertad y la seguridad sexual,2023-10-08,,39,amg
2023-01-02,abuso sexual infantil,-103.33241122613936,20.71741290310306,rancho nuevo,guadalajara,centro,la libertad y la seguridad sexual,2023-01-02,,39,amg
2023-07-05,abuso sexual infantil,-103.29435054144191,20.64799611370484,jardines de los historiadores,guadalajara,centro,la libertad y la seguridad sexual,2023-07-05,,39,amg
2023-02-20,abuso sexual infantil,-103.37280941863612,20.65832052957878,del fresno,guadalajara,centro,la libertad y la seguridad sexual,2023-02-20,,39,amg
2023-06-13,abuso sexual infantil,-103.31033980230926,20.66132801116965,san antonio,guadalajara,centro,la libertad y la seguridad sexual,2023-06-13,,39,amg
2023-05-15,abuso sexual infantil,-103.29654213827376,20.65764431379053,san rafael,guadalajara,centro,la libertad y la seguridad sexual,2023-05-15,,39,amg
2023-02-12,abuso sexual infantil,-103.30081500976046,20.650964723680065,vicente guerrero,guadalajara,centro,la libertad y la seguridad sexual,2023-02-12,,39,amg
2023-02-21,abuso sexual infantil,-103.3537740148472,20.624382381216165,5 de mayo,guadalajara,centro,la libertad y la seguridad sexual,2023-02-21,,39,amg
2023-02-21,abuso sexual infantil,-103.28108456783714,20.69581285351237,san jose rio verde,guadalajara,centro,la libertad y la seguridad sexual,2023-02-21,,39,amg
2023-03-05,abuso sexual infantil,-103.3043933620848,20.66103759635645,san andres,guadalajara,centro,la libertad y la seguridad sexual,2023-03-05,,39,amg
2023-03-05,abuso sexual infantil,-103.29751179201104,20.68751032024089,circunvalacion oblatos,guadalajara,centro,la libertad y la seguridad sexual,2023-03-05,,39,amg
2023-03-07,abuso sexual infantil,-103.40116009946732,20.666445724468176,chapalita,guadalajara,centro,la libertad y la seguridad sexual,2023-03-07,,39,amg
2023-03-08,abuso sexual infantil,-103.33542430292772,20.724589305248134,division del norte,guadalajara,centro,la libertad y la seguridad sexual,2023-03-08,,39,amg
2023-03-27,abuso sexual infantil,-103.36323427608758,20.69706385863404,mezquitan country,guadalajara,centro,la libertad y la seguridad sexual,2023-03-27,,39,amg
2023-04-09,abuso sexual infantil,-103.40270147653057,20.67495839556654,vallarta cuauhtemoc,guadalajara,centro,la libertad y la seguridad sexual,2023-04-09,,39,amg
2023-04-16,abuso sexual infantil,-103.33832291610533,20.71668231048307,santa elena de la cruz,guadalajara,centro,la libertad y la seguridad sexual,2023-04-16,,39,amg
2023-04-23,abuso sexual infantil,-103.30326456570288,20.67931398765086,blanco y cuellar,guadalajara,centro,la libertad y la seguridad sexual,2023-04-23,,39,amg
2023-04-30,abuso sexual infantil,-103.28873540117507,20.690540911832603,arandas,guadalajara,centro,la libertad y la seguridad sexual,2023-04-30,,39,amg
2023-05-03,abuso sexual infantil,-103.2857152011871,20.70271380959688,santa cecilia,guadalajara,centro,la libertad y la seguridad sexual,2023-05-03,,39,amg
2023-05-07,abuso sexual infantil,-103.35111304749528,20.68654106413836,centro,guadalajara,centro,la libertad y la seguridad sexual,2023-05-07,,39,amg
2023-05-09,abuso sexual infantil,-103.32834288181732,20.71895683530225,rancho nuevo,guadalajara,centro,la libertad y la seguridad sexual,2023-05-09,,39,amg
2023-01-01,abuso sexual infantil,-103.33926267456576,20.686759040771587,el retiro,guadalajara,centro,la libertad y la seguridad sexual,2023-01-01,,39,amg
2023-05-21,abuso sexual infantil,-103.3462409242452,20.713097730984664,santa monica,guadalajara,centro,la libertad y la seguridad sexual,2023-05-21,,39,amg
2023-05-28,abuso sexual infantil,-103.28316329611388,20.668432950188382,lagos de oriente,guadalajara,centro,la libertad y la seguridad sexual,2023-05-28,,39,amg
2023-05-30,abuso sexual infantil,-103.37711076065064,20.6359152501366,18 de marzo,guadalajara,centro,la libertad y la seguridad sexual,2023-05-30,,39,amg
2023-06-20,abuso sexual infantil,-103.3406364026398,20.630555414324323,la nogalera,guadalajara,centro,la libertad y la seguridad sexual,2023-06-20,,39,amg
2023-08-13,abuso sexual infantil,-103.32506374655144,20.73142232102756,lomas del paraiso iii,guadalajara,centro,la libertad y la seguridad sexual,2023-08-13,,39,amg
