Unnamed: 0,ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,ND_TIPO,TD_TIPO,BPCOD,R_SEL,RESUL_H,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_5A_1,BP1_5A_2,BP1_5A_3,BP1_5A_4,BP1_5A_9,BP1_6,BP1_7,BP1_8,BP1_9,BP1_10_1,BP1_10_2,BP1_10_9,BP1_11,BP1_12_1,BP1_12_2,BP1_12_3,BP1_12_4,BP1_12_5,BP1_12_9,BP1_13,BP1_14_1,BP1_14_2,BP1_14_3,BP1_14_4,BP1_14_9,BP1_15,BP1_16_1,BP1_16_2,BP1_16_3,BP1_16_4,BP1_16_9,BP1_17,BP1_18,BP1_19_1,BP1_19_2,BP1_19_3,BP1_19_4,BP1_19_5,BP1_19_6,BP1_19_7,BP1_19_8,BP1_20,BP1_21,BP1_22,BP1_23,BP1_24,BP1_25,BP1_26,BP1_27,BP1_28,BP1_29,BP1_30,BP1_31_01,BP1_31_02,BP1_31_03,BP1_31_04,BP1_31_05,BP1_31_06,BP1_31_07,BP1_31_08,BP1_31_99,BP1_32_1,BP1_32_2,BP1_32_3,BP1_32_4,BP1_32_5,BP1_32_9,BP1_33,BP1_34,BP1_35,BP1_36_01,BP1_36_02,BP1_36_03,BP1_36_04,BP1_36_05,BP1_36_06,BP1_36_07,BP1_36_08,BP1_36_09,BP1_36_10,BP1_36_11,BP1_36_99,BP2_1,BP3_1_01,BP3_1_02,BP3_1_03,BP3_1_04,BP3_1_05,BP3_1_06,BP3_1_07,BP3_1_08,BP3_1_09,BP3_1_10,BP3_1_11,BP3_1_12,BP3_1_99,BP3_2,BP4_1,BP5_1,BP5_1A_1,BP5_1A_2,BP5_1A_3,BP5_1A_4,BP5_2_1,BP5_2_2,BP5_2_3,BP5_3,BP6_1,BP6_2,BP6_3,BP7_1,FAC_DEL,FAC_DEL_AM,DOMINIO,ESTRATO,EST_DIS,UPM_DIS,TIPO_DELITO_STR,LUGAR_STR,SEXO_STR
4726,1417055.02,1417055.02.01,1417055.02.01.03,1417055.02.01.03.06.2,1417055,2,1,2,2,6,3,A,1,18,,4,6,1,3,5,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3.0,,,,,,,2,,,,,,,,,,,,,,,,1,3500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,2969,,U,2,279,6242,Robo en negocio,,Hombre
5490,1401997.07,1401997.07.01,1401997.07.01.04,1401997.07.01.04.08.1,1401997,7,1,1,2,8,4,A,1,42,,10,6,7,1,1,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1.0,9.0,,3.0,3.0,3.0,2,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1,20000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5025,,C,2,299,6586,Fraude bancario,,Hombre
6347,1402472.02,1402472.02.01,1402472.02.01.02,1402472.02.01.02.14.1,1402472,2,1,1,1,14,2,A,2,20,,8,7,78,2,1,,,,,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,,,1.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2054,,U,4,281,6453,Homicidio de familiar,,Mujer
8405,1405678.02,1405678.02.01,1405678.02.01.01,1405678.02.01.01.04.2,1405678,2,1,2,2,4,1,A,1,45,1.0,5,9,3,2,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,1112,1112.0,U,4,281,6421,Robo en transporte público,Calle o vía pública,Hombre
8409,1409215.11,1409215.11.01,1409215.11.01.01,1409215.11.01.01.05.1,1409215,11,1,1,1,5,1,A,1,27,1.0,3,9,3,3,1,,,,,,1.0,1.0,2.0,1.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,,,,,,,9.0,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,400.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,902,902.0,C,2,297,6571,Robo en calle (a transeúnte),Calle o vía pública,Hombre
8514,1413727.01,1413727.01.01,1413727.01.01.02,1413727.01.01.02.08.1,1413727,1,1,1,1,8,2,A,2,40,1.0,12,9,3,2,3,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5.0,,,,,,,2,,,,,,,,,,,,,,,,1,3800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2944,2944.0,U,4,281,6465,Fraude bancario,Calle o vía pública,Mujer
12108,1405465.01,1405465.01.01,1405465.01.01.03,1405465.01.01.03.07.1,1405465,1,1,1,1,7,3,A,1,39,,2,9,999,9,4,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3415,,U,4,281,6412,Robo en banco/cajero,,Hombre
16135,1410302.2,1410302.20.01,1410302.20.01.01,1410302.20.01.01.09.1,1410302,20,1,1,1,9,1,A,1,49,,9,14,1,2,3,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5.0,,,,,,,2,,,,,,,,,,,,,,,,1,45000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,0.0,0.0,1.0,,,,,1981,,C,4,296,6557,Extorsión,,Hombre
16138,1460090.14,1460090.14.01,1460090.14.01.01,1460090.14.01.01.04.1,1460090,14,1,1,1,4,1,A,2,42,,5,14,6,1,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,8.0,,,,,,,2,,,,,,,,,,,,,,,,1,9999999.0,9999999.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,,,,564,,R,3,304,6612,Robo en transporte público,,Mujer
16139,1460090.14,1460090.14.01,1460090.14.01.01,1460090.14.01.01.06.1,1460090,14,1,1,1,6,1,A,2,42,,6,14,6,2,1,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4.0,,,,,,,2,,,,,,,,,,,,,,,,1,9999999.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,564,,R,3,304,6612,Robo en negocio,,Mujer
