"","ID_VIV","ID_HOG","UPM","VIV_SEL","HOGAR","RESUL_H","N_INF","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","TOT_PER","FAC_HOG","FAC_HOG_AM","DOMINIO","EST_DIS","UPM_DIS"
"1","0100107.01","0100107.01.01","0100107","01","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000241","000241","U","0001","00047"
"2","0100107.02","0100107.02.01","0100107","02","01","A","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000241","000241","U","0001","00047"
"3","0100107.03","0100107.03.01","0100107","03","01","B","01","04","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000241","000241","U","0001","00047"
"4","0100107.04","0100107.04.01","0100107","04","01","A","02","03","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000241","000241","U","0001","00047"
"5","0100107.05","0100107.05.01","0100107","05","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000241","000241","U","0001","00047"
"6","0100110.01","0100110.01.01","0100110","01","01","A","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000265","000265","U","0001","00011"
"7","0100110.02","0100110.02.01","0100110","02","01","A","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000265","000265","U","0001","00011"
"8","0100110.03","0100110.03.01","0100110","03","01","B","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000265","000265","U","0001","00011"
"9","0100110.04","0100110.04.01","0100110","04","01","B","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000265","000265","U","0001","00011"
"10","0100110.05","0100110.05.01","0100110","05","01","A","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","07","000265","000265","U","0001","00011"
"11","0100114.01","0100114.01.01","0100114","01","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000276","000276","U","0003","00203"
"12","0100114.02","0100114.02.01","0100114","02","01","A","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","06","000276","000276","U","0003","00203"
"13","0100114.03","0100114.03.01","0100114","03","01","B","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000276","000276","U","0003","00203"
"14","0100114.04","0100114.04.01","0100114","04","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","03","000276","000276","U","0003","00203"
"15","0100114.05","0100114.05.01","0100114","05","01","A","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000276","000276","U","0003","00203"
"16","0100117.01","0100117.01.01","0100117","01","01","A","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000228","000228","U","0003","00249"
"17","0100117.02","0100117.02.01","0100117","02","01","B","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000228","000228","U","0003","00249"
"18","0100117.03","0100117.03.01","0100117","03","01","B","03","03","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000228","000228","U","0003","00249"
"19","0100117.04","0100117.04.01","0100117","04","01","B","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000228","000228","U","0003","00249"
"20","0100117.05","0100117.05.01","0100117","05","01","B","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000228","000228","U","0003","00249"
"21","0100118.01","0100118.01.01","0100118","01","01","B","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000242","000242","U","0003","00241"
"22","0100118.02","0100118.02.01","0100118","02","01","A","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000242","000242","U","0003","00241"
"23","0100118.03","0100118.03.01","0100118","03","01","B","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","03","000242","000242","U","0003","00241"
"24","0100118.04","0100118.04.01","0100118","04","01","B","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000242","000242","U","0003","00241"
"25","0100118.05","0100118.05.01","0100118","05","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000242","000242","U","0003","00241"
"26","0100143.01","0100143.01.01","0100143","01","01","A","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000260","000260","U","0002","00102"
"27","0100143.02","0100143.02.01","0100143","02","01","B","05","02","01","AGUASCALIENTES","001","AGUASCALIENTES","06","000260","000260","U","0002","00102"
"28","0100143.03","0100143.03.01","0100143","03","01","B","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000260","000260","U","0002","00102"
"29","0100143.04","0100143.04.01","0100143","04","01","B","01","03","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000260","000260","U","0002","00102"
"30","0100143.05","0100143.05.01","0100143","05","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000260","000260","U","0002","00102"
"31","0100144.01","0100144.01.01","0100144","01","01","B","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000264","000264","U","0002","00099"
"32","0100144.02","0100144.02.01","0100144","02","01","A","04","04","01","AGUASCALIENTES","001","AGUASCALIENTES","04","000264","000264","U","0002","00099"
"33","0100144.03","0100144.03.01","0100144","03","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000264","000264","U","0002","00099"
"34","0100144.04","0100144.04.01","0100144","04","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000264","000264","U","0002","00099"
"35","0100146.03","0100146.03.01","0100146","03","01","B","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","000218","000218","U","0002","00158"
"36","0100146.04","0100146.04.01","0100146","04","01","A","01","04","01","AGUASCALIENTES","001","AGUASCALIENTES","06","000218","000218","U","0002","00158"
"37","0100146.05","0100146.05.01","0100146","05","01","B","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000218","000218","U","0002","00158"
"38","0100149.01","0100149.01.01","0100149","01","01","A","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000242","000242","U","0001","00046"
"39","0100149.02","0100149.02.01","0100149","02","01","A","04","04","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000242","000242","U","0001","00046"
"40","0100149.03","0100149.03.01","0100149","03","01","B","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000242","000242","U","0001","00046"
"41","0100149.04","0100149.04.01","0100149","04","01","A","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","05","000242","000242","U","0001","00046"
"42","0100149.05","0100149.05.01","0100149","05","01","A","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","06","000242","000242","U","0001","00046"
"43","0100151.01","0100151.01.01","0100151","01","01","B","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","03","000251","000251","U","0002","00116"
"44","0100151.02","0100151.02.01","0100151","02","01","B","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000251","000251","U","0002","00116"
"45","0100151.03","0100151.03.01","0100151","03","01","A","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","07","000251","000251","U","0002","00116"
"46","0100151.04","0100151.04.01","0100151","04","01","B","03","03","01","AGUASCALIENTES","001","AGUASCALIENTES","03","000251","000251","U","0002","00116"
"47","0100151.05","0100151.05.01","0100151","05","01","A","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","02","000251","000251","U","0002","00116"
