"","ID_VIV","UPM","VIV_SEL","AREAM","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","RESULT_V","AP1_1","AP1_2","AP2_1","AP2_2","AP2_3","NAP2_3","FAC_VIV","FAC_VIV_AM","DOMINIO","EST_DIS","UPM_DIS"
"1","0100107.01","0100107","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000241","000241","U","0001","00047"
"2","0100107.02","0100107","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",2,2,"04",1,NA,"01","000241","000241","U","0001","00047"
"3","0100107.03","0100107","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000241","000241","U","0001","00047"
"4","0100107.04","0100107","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",2,1,"04",1,NA,"01","000241","000241","U","0001","00047"
"5","0100107.05","0100107","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000241","000241","U","0001","00047"
"6","0100110.01","0100110","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"01",1,NA,"01","000265","000265","U","0001","00011"
"7","0100110.02","0100110","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"01",1,NA,"01","000265","000265","U","0001","00011"
"8","0100110.03","0100110","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"05",1,NA,"01","000265","000265","U","0001","00011"
"9","0100110.04","0100110","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000265","000265","U","0001","00011"
"10","0100110.05","0100110","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"07",1,NA,"01","000265","000265","U","0001","00011"
"11","0100114.01","0100114","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000276","000276","U","0003","00203"
"12","0100114.02","0100114","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"06",1,NA,"01","000276","000276","U","0003","00203"
"13","0100114.03","0100114","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000276","000276","U","0003","00203"
"14","0100114.04","0100114","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"03",1,NA,"01","000276","000276","U","0003","00203"
"15","0100114.05","0100114","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"05",1,NA,"01","000276","000276","U","0003","00203"
"16","0100117.01","0100117","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"02",1,NA,"01","000228","000228","U","0003","00249"
"17","0100117.02","0100117","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"05",1,NA,"01","000228","000228","U","0003","00249"
"18","0100117.03","0100117","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000228","000228","U","0003","00249"
"19","0100117.04","0100117","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"05",1,NA,"01","000228","000228","U","0003","00249"
"20","0100117.05","0100117","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000228","000228","U","0003","00249"
"21","0100118.01","0100118","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"02",1,NA,"01","000242","000242","U","0003","00241"
"22","0100118.02","0100118","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"04",1,NA,"01","000242","000242","U","0003","00241"
"23","0100118.03","0100118","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"03",1,NA,"01","000242","000242","U","0003","00241"
"24","0100118.04","0100118","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"02",1,NA,"01","000242","000242","U","0003","00241"
"25","0100118.05","0100118","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000242","000242","U","0003","00241"
"26","0100143.01","0100143","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"05",1,NA,"01","000259","000259","U","0002","00102"
"27","0100143.02","0100143","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"06",1,NA,"01","000259","000259","U","0002","00102"
"28","0100143.03","0100143","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"05",1,NA,"01","000259","000259","U","0002","00102"
"29","0100143.04","0100143","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"05",1,NA,"01","000259","000259","U","0002","00102"
"30","0100143.05","0100143","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000259","000259","U","0002","00102"
"31","0100144.01","0100144","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"04",1,NA,"01","000262","000262","U","0002","00099"
"32","0100144.02","0100144","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"04",1,NA,"01","000262","000262","U","0002","00099"
"33","0100144.03","0100144","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000262","000262","U","0002","00099"
"34","0100144.04","0100144","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000262","000262","U","0002","00099"
"35","0100146.03","0100146","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"01",1,NA,"01","000217","000217","U","0002","00158"
"36","0100146.04","0100146","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"06",1,NA,"01","000217","000217","U","0002","00158"
"37","0100146.05","0100146","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"02",1,NA,"01","000217","000217","U","0002","00158"
"38","0100149.01","0100149","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"05",1,NA,"01","000242","000242","U","0001","00046"
"39","0100149.02","0100149","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"05",1,NA,"01","000242","000242","U","0001","00046"
"40","0100149.03","0100149","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"02",1,NA,"01","000242","000242","U","0001","00046"
"41","0100149.04","0100149","04","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"05",1,NA,"01","000242","000242","U","0001","00046"
"42","0100149.05","0100149","05","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"06",1,NA,"01","000242","000242","U","0001","00046"
"43","0100151.01","0100151","01","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"03",1,NA,"01","000250","000250","U","0002","00116"
"44","0100151.02","0100151","02","14","01","AGUASCALIENTES","001","AGUASCALIENTES","02",1,2,"02",1,NA,"01","000250","000250","U","0002","00116"
"45","0100151.03","0100151","03","14","01","AGUASCALIENTES","001","AGUASCALIENTES","01",1,2,"07",1,NA,"01","000250","000250","U","0002","00116"
